City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,isiro,2.7739,27.616,25.71,28,100,2.46,CD,1736750575
331,kilindoni,-7.9139,39.6668,27.75,82,100,8.55,TZ,1736750577
332,magumeri,12.1131,12.8274,17.44,43,54,3.54,NG,1736750578
333,nuku'alofa,-21.1333,-175.2,27.19,69,20,2.57,TO,1736750579
334,gaspe,48.8334,-64.4819,-3.88,80,100,3.6,CA,1736750581
335,yuci,37.6803,112.7319,5.86,24,0,4.0,CN,1736750582
336,mirante do paranapanema,-22.2919,-51.9064,20.52,74,14,5.25,BR,1736750584
337,nuuk,64.1835,-51.7216,-12.66,72,5,10.29,GL,1736750585
338,carnarvon,-24.8667,113.6333,28.18,59,0,9.5,AU,1736750586
339,tyukhtet,56.5389,89.3011,-12.46,93,98,3.44,RU,1736750587
340,shalkar,47.8288,59.6258,-4.22,86,80,3.07,KZ,1736750589
341,viitasaari,63.0667,25.8667,-5.87,94,100,2.72,FI,1736750591
342,queenstown,-31.8976,26.8753,15.91,84,99,2.72,ZA,1736750593
343,northam,51.0333,-4.2167,4.89,80,100,1.79,GB,1736750594
344,verkhnevilyuysk,63.4453,120.3167,-25.65,98,100,1.95,RU,1736750595
345,arvayheer,46.2639,102.775,-14.51,44,100,8.26,MN,1736750597
346,yajiwa,11.3839,12.7236,17.82,46,78,3.05,NG,1736750598
347,kinablangan,7.6947,126.5503,25.42,89,100,1.94,PH,1736750599
348,vizinga,61.0749,50.1031,-2.75,97,100,2.51,RU,1736750601
349,labytnangi,66.6572,66.4183,-16.12,90,100,2.67,RU,1736750602
350,i-n-salah,27.1935,2.4607,13.79,44,0,4.16,DZ,1736750603
351,usinsk,65.9939,57.5281,-15.28,88,99,5.98,RU,1736750605
352,el calafate,-50.3408,-72.2768,5.78,75,4,1.62,AR,1736750608
353,greymouth,-42.4667,171.2,18.01,72,42,3.44,NZ,1736750609
354,mullsjo,63.7,19.7,-2.54,87,100,4.82,SE,1736750610
355,rudsar,37.1376,50.288,13.68,69,6,0.76,IR,1736750612
356,kokoda,-8.8785,147.7407,26.26,93,100,0.37,PG,1736750613
357,castillos,-34.1667,-53.8333,15.57,91,11,1.3,UY,1736750614
358,puerto real,36.5282,-6.1901,7.09,87,0,3.09,ES,1736750616
359,san patricio,28.017,-97.5169,10.97,56,96,5.5,US,1736750617
360,sechura,-5.5569,-80.8222,20.95,81,69,3.91,PE,1736750619
